04-04-2026 15:49:18.175,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-04-2026 15:48:21.743,95,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:23.358,96,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:29.964,97,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:31.541,98,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:33.138,99,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:39.726,100,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:41.343,101,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:42.928,102,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:49.550,103,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:51.132,104,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:52.746,105,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:59.319,106,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:49:00.935,107,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:49:02.521,108,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:49:08.710,109,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
