04-15-2026 20:02:12.671,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-15-2026 19:36:51.295,622,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:52.914,623,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:54.480,624,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:01.093,625,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:02.707,626,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:04.310,627,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:10.486,628,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:12.088,629,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:13.705,630,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:15.263,631,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:16.873,632,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:37:19.438,633,RECV,7E00028A0372
04-15-2026 19:37:20.809,634,RECV,7E00028A066F
04-15-2026 19:37:20.809,635,RECV,7E00028A4332
04-15-2026 19:37:38.706,636,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:37:40.233,637,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:37:41.841,638,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:37:48.425,639,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:37:49.976,640,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
